timestamp_unix,timestamp_iso,participant_full_id,accelerometers_std_g,missing_value_reason
1709429760000,2024-03-03T01:36:00Z,899-1-1-05,,device_not_recording
1709429820000,2024-03-03T01:37:00Z,899-1-1-05,,device_not_recording
1709429880000,2024-03-03T01:38:00Z,899-1-1-05,,device_not_recording
1709429940000,2024-03-03T01:39:00Z,899-1-1-05,,device_not_recording
1709430000000,2024-03-03T01:40:00Z,899-1-1-05,,device_not_recording
1709430060000,2024-03-03T01:41:00Z,899-1-1-05,,device_not_recording
1709430120000,2024-03-03T01:42:00Z,899-1-1-05,,device_not_recording
1709430180000,2024-03-03T01:43:00Z,899-1-1-05,,device_not_recording
1709430240000,2024-03-03T01:44:00Z,899-1-1-05,,device_not_recording
1709430300000,2024-03-03T01:45:00Z,899-1-1-05,,device_not_recording
1709430360000,2024-03-03T01:46:00Z,899-1-1-05,,device_not_recording
1709430420000,2024-03-03T01:47:00Z,899-1-1-05,,device_not_recording
1709430480000,2024-03-03T01:48:00Z,899-1-1-05,,device_not_recording
1709430540000,2024-03-03T01:49:00Z,899-1-1-05,,device_not_recording
1709430600000,2024-03-03T01:50:00Z,899-1-1-05,,device_not_recording
1709430660000,2024-03-03T01:51:00Z,899-1-1-05,,device_not_recording
1709430720000,2024-03-03T01:52:00Z,899-1-1-05,,device_not_recording
1709430780000,2024-03-03T01:53:00Z,899-1-1-05,,device_not_recording
1709430840000,2024-03-03T01:54:00Z,899-1-1-05,,device_not_recording
1709430900000,2024-03-03T01:55:00Z,899-1-1-05,,device_not_recording
1709430960000,2024-03-03T01:56:00Z,899-1-1-05,,device_not_recording
1709431020000,2024-03-03T01:57:00Z,899-1-1-05,,device_not_recording
1709431080000,2024-03-03T01:58:00Z,899-1-1-05,,device_not_recording
1709431140000,2024-03-03T01:59:00Z,899-1-1-05,,device_not_recording
1709431200000,2024-03-03T02:00:00Z,899-1-1-05,,device_not_recording
1709431260000,2024-03-03T02:01:00Z,899-1-1-05,,device_not_recording
1709431320000,2024-03-03T02:02:00Z,899-1-1-05,,device_not_recording
1709431380000,2024-03-03T02:03:00Z,899-1-1-05,,device_not_recording
1709431440000,2024-03-03T02:04:00Z,899-1-1-05,,device_not_recording
1709431500000,2024-03-03T02:05:00Z,899-1-1-05,,device_not_recording
1709431560000,2024-03-03T02:06:00Z,899-1-1-05,,device_not_recording
1709431620000,2024-03-03T02:07:00Z,899-1-1-05,,device_not_recording
1709431680000,2024-03-03T02:08:00Z,899-1-1-05,,device_not_recording
1709431740000,2024-03-03T02:09:00Z,899-1-1-05,,device_not_recording
1709431800000,2024-03-03T02:10:00Z,899-1-1-05,,device_not_recording
1709431860000,2024-03-03T02:11:00Z,899-1-1-05,,device_not_recording
1709431920000,2024-03-03T02:12:00Z,899-1-1-05,,device_not_recording
1709431980000,2024-03-03T02:13:00Z,899-1-1-05,,device_not_recording
1709432040000,2024-03-03T02:14:00Z,899-1-1-05,,device_not_recording
1709432100000,2024-03-03T02:15:00Z,899-1-1-05,,device_not_recording
1709432160000,2024-03-03T02:16:00Z,899-1-1-05,,device_not_recording
1709432220000,2024-03-03T02:17:00Z,899-1-1-05,,device_not_recording
1709432280000,2024-03-03T02:18:00Z,899-1-1-05,,device_not_recording
1709432340000,2024-03-03T02:19:00Z,899-1-1-05,,device_not_recording
1709432400000,2024-03-03T02:20:00Z,899-1-1-05,,device_not_recording
1709432460000,2024-03-03T02:21:00Z,899-1-1-05,,device_not_recording
1709432520000,2024-03-03T02:22:00Z,899-1-1-05,,device_not_recording
1709432580000,2024-03-03T02:23:00Z,899-1-1-05,,device_not_recording
1709432640000,2024-03-03T02:24:00Z,899-1-1-05,,device_not_recording
1709432700000,2024-03-03T02:25:00Z,899-1-1-05,,device_not_recording
1709432760000,2024-03-03T02:26:00Z,899-1-1-05,,device_not_recording
1709432820000,2024-03-03T02:27:00Z,899-1-1-05,,device_not_recording
1709432880000,2024-03-03T02:28:00Z,899-1-1-05,,device_not_recording
1709432940000,2024-03-03T02:29:00Z,899-1-1-05,,device_not_recording
1709433000000,2024-03-03T02:30:00Z,899-1-1-05,,device_not_recording
1709433060000,2024-03-03T02:31:00Z,899-1-1-05,,device_not_recording
1709433120000,2024-03-03T02:32:00Z,899-1-1-05,,device_not_recording
1709433180000,2024-03-03T02:33:00Z,899-1-1-05,,device_not_recording
1709433240000,2024-03-03T02:34:00Z,899-1-1-05,,device_not_recording
1709433300000,2024-03-03T02:35:00Z,899-1-1-05,,device_not_recording
1709433360000,2024-03-03T02:36:00Z,899-1-1-05,,device_not_recording
1709433420000,2024-03-03T02:37:00Z,899-1-1-05,,device_not_recording
1709433480000,2024-03-03T02:38:00Z,899-1-1-05,,device_not_recording
1709433540000,2024-03-03T02:39:00Z,899-1-1-05,,device_not_recording
1709433600000,2024-03-03T02:40:00Z,899-1-1-05,,device_not_recording
1709433660000,2024-03-03T02:41:00Z,899-1-1-05,,device_not_recording
1709433720000,2024-03-03T02:42:00Z,899-1-1-05,,device_not_recording
1709433780000,2024-03-03T02:43:00Z,899-1-1-05,,device_not_recording
1709433840000,2024-03-03T02:44:00Z,899-1-1-05,,device_not_recording
1709433900000,2024-03-03T02:45:00Z,899-1-1-05,,device_not_recording
1709433960000,2024-03-03T02:46:00Z,899-1-1-05,,device_not_recording
1709434020000,2024-03-03T02:47:00Z,899-1-1-05,,device_not_recording
1709434080000,2024-03-03T02:48:00Z,899-1-1-05,,device_not_recording
1709434140000,2024-03-03T02:49:00Z,899-1-1-05,,device_not_recording
1709434200000,2024-03-03T02:50:00Z,899-1-1-05,,device_not_recording
1709434260000,2024-03-03T02:51:00Z,899-1-1-05,,device_not_recording
1709434320000,2024-03-03T02:52:00Z,899-1-1-05,,device_not_recording
1709434380000,2024-03-03T02:53:00Z,899-1-1-05,,device_not_recording
1709434440000,2024-03-03T02:54:00Z,899-1-1-05,,device_not_recording
1709434500000,2024-03-03T02:55:00Z,899-1-1-05,,device_not_recording
1709434560000,2024-03-03T02:56:00Z,899-1-1-05,,device_not_recording
1709434620000,2024-03-03T02:57:00Z,899-1-1-05,,device_not_recording
1709434680000,2024-03-03T02:58:00Z,899-1-1-05,,device_not_recording
1709434740000,2024-03-03T02:59:00Z,899-1-1-05,,device_not_recording
1709434800000,2024-03-03T03:00:00Z,899-1-1-05,,device_not_recording
1709434860000,2024-03-03T03:01:00Z,899-1-1-05,,device_not_recording
1709434920000,2024-03-03T03:02:00Z,899-1-1-05,,device_not_recording
1709434980000,2024-03-03T03:03:00Z,899-1-1-05,,device_not_recording
1709435040000,2024-03-03T03:04:00Z,899-1-1-05,,device_not_recording
1709435100000,2024-03-03T03:05:00Z,899-1-1-05,,device_not_recording
